Query,Category,Folder,Correct Source,answer,metadata
Need to add a service calendar to a funnel,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/48000982201-embed-a-highlevel-calendar,"To add a service calendar to a funnel in HighLevel, you can follow these steps:

1. Go to Settings > Appointment Widget to copy the embed code for your service calendar.
2. On your funnel page, add a 'Custom JS/HTML' element.
3. Paste the copied embed code into this element.
4. Save the funnel page and preview it to ensure the calendar is displayed correctly.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001049320-can-i-show-multiple-calendars-without-using-a-calendar-group-', 'Category': 'Calendars & Appointments ', 'Folder': ""Calendar FAQ's ""}]"
Somehow we've lost a contact and all their corresponding messages and recordings. I'm only able to go back 60 days in the audit logs.,Contacts,Restore,https://help.gohighlevel.com/en/support/solutions/articles/48001211386-step-by-step-guide-restoring-deleted-contacts,"Based on the provided context, here are some points to consider regarding your lost contact and corresponding data:

1. **Restoration Process**: If the contact was deleted, you can attempt to restore it using the HighLevel platform's restoration feature. Navigate to Contacts > Restore tab to restore single or multiple contacts. However, note that contacts in HIPAA-compliant locations cannot be restored.

2. **Audit Logs**: Audit logs in HighLevel are retained for 60 days, which is why you are only able to go back that far. Unfortunately, if the contact was deleted beyond this period, it may not be recoverable through audit logs.

3. **Limitations**: If the contact was in a HIPAA-compliant location, it is permanently deleted and cannot be restored.

If these options do not resolve your issue, you may need to contact HighLevel support for further assistance.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001211386-step-by-step-guide-restoring-deleted-contacts', 'Category': 'nan', 'Folder': 'Smart Lists '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000003844-custom-object-audit-logs', 'Category': 'nan', 'Folder': 'Managing Custom Object Records '}]"
where will i see if my customers have booked a meeting with me,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000001202-in-app-calendar-view,"You can view and manage all your appointments, including those booked by your customers, in the Appointment List View. This feature allows you to see upcoming, cancelled, and all appointments across multiple calendars. You can also customize the view by adding or removing fields and applying advanced filters to sort appointments by criteria such as Calendar, Users, Status, and Appointment Time.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000003447-appointment-list-view-in-calendars-smart-list-', 'Category': 'Calendars & Appointments ', 'Folder': 'Scheduling Appointments '}]"
sender domain error,LC Email System,,https://help.gohighlevel.com/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record,"To address sender domain errors, consider the following steps:

1. **Domain Verification**: Ensure that your domain is properly verified. This involves adding the necessary DNS records (TXT, CNAME, MX) to your domain provider and verifying them in your email service provider's settings. [15]

2. **DMARC Authentication**: Implement DMARC authentication for your sending domain to prevent email fraud and improve deliverability. This is especially important if you're sending a large volume of emails. [3, 36]

3. **SMTP Configuration**: Check that your SMTP settings are correctly configured. This includes ensuring that the sender email matches the configured SMTP email and that the SMTP credentials are set up correctly. [6, 34]

4. **Dedicated Sending Domain**: Use a dedicated sending domain to improve your email reputation and deliverability. This involves setting up a dedicated domain in your email service provider and configuring it for email sending. [9, 32]

5. **Avoid Using Public Domains**: Avoid using public domains like Gmail or Yahoo for sending marketing emails, as this can lead to deliverability issues. Instead, use a domain you own. [4, 8]","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001209322-email-error-library-for-supported-smtps', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000001634-achieving-compliance-meeting-google-and-yahoo-s-email-sender-requirements-in-2024', 'Category': 'Email ', 'Folder': 'Deliverability '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001063376-why-can-t-i-use-my-free-email-address-as-the-smtp-', 'Category': 'Email ', 'Folder': 'SMTP Providers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001203144-limitation-of-using-smtp-when-emails-are-not-sending', 'Category': 'Email ', 'Folder': 'SMTP Providers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001063372-why-are-my-emails-going-to-spam-', 'Category': 'Email ', 'Folder': 'Deliverability '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001226115-lc-email-dedicated-sending-domains', 'Category': 'Email ', 'Folder': 'LC Email Dedicated Domain and IP '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record', 'Category': 'Email ', 'Folder': 'LC Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000001021-email-sending-guide-email-best-practices-email-warm-up', 'Category': 'Email ', 'Folder': 'LC Email '}]"
i would like to know how to add webhooks to an automation and how much it costs,Automation,Triggers,https://help.gohighlevel.com/en/support/solutions/articles/48001231559-how-to-enable-and-rebill-lc-premium-triggers-actions-for-workflows,"To add webhooks to an automation in HighLevel, follow these steps:

1. **Access Workflow Settings**: Navigate to the Automation tab in your HighLevel sub-account.
2. **Select Inbound Webhook as the Trigger**: Choose 'Inbound Webhook' as the trigger for your workflow.
3. **Generate a Unique Webhook URL**: This URL will be used to receive data from external applications.
4. **Set Up External Application**: Configure the external application to send data to the generated HighLevel Webhook URL.
5. **Test the Integration**: Use a tool like Postman to test the webhook by sending a sample JSON request to the URL.
6. **Map Incoming Data**: Map the incoming data to relevant fields or variables in your workflow.
7. **Save the Trigger**: Save your workflow settings to activate the webhook.

Unfortunately, the provided context does not include information about the cost of adding webhooks.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001163126-how-to-set-up-affiliate-program-webhooks-to-run-automations-first-promoter-', 'Category': 'HighLevel Affiliates Program ', 'Folder': 'Affiliates Program '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000003147-trigger-inbound-webhook', 'Category': 'Getting Started w/ Workflows ', 'Folder': 'Developer Resources '}]"
I'm sending an automated email from the clients Gmail address. When their potential customers reply to the email it's going to a msgsndr.com email address. I want them to go through to him,LC Email System,,https://help.gohighlevel.com/support/solutions/articles/48001184605-setting-alias-for-google-smtp,"To ensure that replies to automated emails sent from a client's Gmail address go directly to the client's email rather than a msgsndr.com address, you should check the reply address settings in HighLevel. Here are some steps you can take:

1. **Reply Address Configuration**: Ensure that the reply address is set to the client's Gmail address. You can configure up to 5 reply-to addresses in HighLevel under Settings > Email Services > Reply & Forward Settings > Reply Address.

2. **Forwarding Settings**: Verify that the forwarding settings are correctly configured to send replies to the client's email. This can be done in the same settings section.

3. **SMTP Integration**: If using SMTP, ensure that the sender email matches the SMTP integrated email to avoid any mismatches that might cause replies to be redirected.

By adjusting these settings, you should be able to direct replies to the intended email address.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001155000-email-services-configuration-reply-forward-settings', 'Category': 'Email ', 'Folder': 'General '}]"
My Dedicated email isn't sending or working.,LC Email System,Forms,https://help.gohighlevel.com/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record,"To troubleshoot your dedicated email not sending or working, consider the following steps based on the provided context:

1. **Check SMTP Integration**: Ensure that your SMTP settings are correctly configured. Verify that the sender email matches the configured SMTP email to avoid delivery issues. [7]

2. **Verify DNS Records**: Make sure that all necessary DNS records (TXT, CNAME, MX) are correctly set up and verified. Incorrect DNS settings can prevent emails from sending. [1, 6]

3. **Review Email Content**: Check for any issues in the email content, such as incorrect custom values or formatting errors, which might prevent emails from being sent. [3]

4. **Check for Delays**: If using Mailgun, there might be delays in sending. Ensure that the Mailgun setup is correct and that there are no issues with the receiving routes. [3, 6]

5. **Domain Verification**: Ensure that your domain is verified and active. Unverified domains can lead to emails not being sent. [1]

6. **Contact Support**: If issues persist after checking these areas, consider reaching out to HighLevel support for further assistance. [6]","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001226115-lc-email-dedicated-sending-domains', 'Category': 'Email ', 'Folder': 'LC Email Dedicated Domain and IP '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001204155-how-to-fix-when-the-review-request-email-is-not-sending', 'Category': 'Reputation Management & Reviews ', 'Folder': 'Review Requests '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001185819-when-email-replies-are-not-showing-up-in-conversation', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001203144-limitation-of-using-smtp-when-emails-are-not-sending', 'Category': 'Email ', 'Folder': 'SMTP Providers '}]"
my zoom meeting does not appear in my calendar nor my zoom account.,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000002374--new-calendar-configuration-linked-calendar-conflicts-calendar,"Here are a few things to check if your Zoom meeting does not appear in your calendar or Zoom account:

1. **User Account Connection**: Ensure that your Zoom account is properly connected to your user profile in the CRM platform. Each user must connect their own Zoom account, as the integration is tied to unique User IDs, not email addresses.

2. **Integration Setup**: Verify that the integration has been set up correctly through your User Profile, Default Meeting Location, or Calendar Settings.

3. **Request Limit**: Be aware that there is a limit of 100 requests per day for creating, updating, or deleting meetings. If this limit is exceeded, new meetings may not be created or updated.

4. **Calendar Type**: Ensure that you are using a Group Calendar, as the integration only works with this type of calendar.

5. **Static Links for Unassigned Calendars**: If using an unassigned calendar, make sure to manually add static Zoom links to the meeting location settings.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001179593-zoom-integration-for-users-calendar-bookings', 'Category': 'Integrations ', 'Folder': 'Other Integrations '}]"
I need help creating a conversation AI,Conversations,Conversation AI,https://help.gohighlevel.com/en/support/solutions/articles/155000000209-how-to-configure-the-workflow-ai-action-,"To create a Conversation AI, you can follow these general steps based on the HighLevel platform:

1. **Training the Bot**: You can train the Conversation AI Bot by accessing the 'Training the Bot' section, which includes articles on training your bot and managing crawled website data [13].

2. **Setting Up Appointment Booking**: If you want to use Conversation AI for appointment booking, you can set up a workflow with a trigger and configure the AI appointment bot settings, such as calendar selection and processing duration [12].

3. **Customizing AI Responses**: Customize AI responses using prompts to match your brand's voice and requirements [2].

4. **Enabling Conversation AI**: Enable Conversation AI for your agency by following the instructions provided in the relevant articles [2].

5. **Using AI in Different Modes**: Explore different modes and functionalities of Conversation AI, such as Auto-Pilot Mode for efficient communication [4].","[{'url': 'https://help.gohighlevel.com/support/solutions/folders/155000000931', 'Category': 'nan', 'Folder': 'Conversation AI '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001216782-ai-conversational-appointment-booking-workflow-and-setup', 'Category': 'Social Planner ', 'Folder': 'AI Appointment Booking Bot '}, {'url': 'https://help.gohighlevel.com/support/solutions/folders/155000000932', 'Category': 'nan', 'Folder': 'Conversation AI '}]"
My SMS service has been blocked,LC Phone System,Other,https://help.gohighlevel.com/support/solutions/articles/48001213941-lc-phone-messaging-policy,"If your SMS service has been blocked, it could be due to several reasons:

1. **Account Suspension**: Your account may be suspended due to non-compliance with messaging policies, high error rates, or high opt-out rates. To resolve this, you need to provide the first text message in your workflow after lead opt-in and the web URL where leads opt-in. Ensure compliance with all SMS messaging requirements, including clear program descriptions and opt-out instructions [11].

2. **Registration Failures**: If your phone number registration for A2P or Toll-Free numbers failed, it could be due to issues with opt-in information, forbidden use cases, or inaccurate company information. Ensure all provided information is accurate and complies with the required guidelines [27].","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001207676-why-is-your-account-suspended', 'Category': 'Phone System ', 'Folder': 'LC Phone System '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000001454-fixing-failed-number-registrations-a2p-local-and-toll-free-', 'Category': 'Phone System ', 'Folder': 'LC Phone System '}]"
I want to disconnect our email sub domain from this subaccount,LC Email System,Other,https://help.gohighlevel.com/a/solutions/articles/48001226115?portalId=48000045315#How-to-delete-a-domain?,"To disconnect your email subdomain from a subaccount in HighLevel, you would typically need to manage the email settings for that subaccount. Here are the steps you might follow based on the context provided:

1. Navigate to the Agency Settings in your HighLevel account.
2. Go to Email Services and then Location Settings.
3. Identify the subaccount from which you want to disconnect the email subdomain.
4. Change the email service settings for that subaccount, which may involve removing or altering the domain settings.

Please ensure you have the necessary permissions to make these changes, and consider consulting any specific guides or support resources provided by HighLevel for detailed instructions.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002222-manage-sub-account-email-settings-and-migration-in-lc-email', 'Category': 'Email ', 'Folder': 'LC Email '}]"
I want to have an if/else based on if appointment is canceled by owner or client,Automation,Workflows,https://help.gohighlevel.com/en/support/solutions/articles/48001180266-workflow-builder-if-else-conditional-event,I don't have relevant information to answer the question about creating an If/Else condition based on whether an appointment is canceled by the owner or client.,
Domain related issues,LC Email System,Appointments,https://help.gohighlevel.com/a/solutions/articles/155000002220?portalId=48000045315,"Here are some key points related to domain issues within the HighLevel platform:

1. **Domain Setup and Management**:
   - You can set up root domains and subdomains for funnels and websites by adding CNAME or A records in your DNS settings and associating them with your HighLevel account. [5]
   - The Domain Connect feature offers automatic DNS configuration for Google, Cloudflare, and GoDaddy domains. [2]

2. **Troubleshooting Domain Issues**:
   - If you encounter a 404 error after adding DNS records, check for duplicate A records and confirm DNS propagation. [2]
   - For SSL errors, ensure correct DNS setup and that only the correct A or CNAME record is present. [5]

3. **Domain Verification**:
   - Domain verification is crucial for email tracking and ensuring authorized sending. You can verify your domain using Auto Configure DNS or Manual Setup by adding TXT, CNAME, and MX records. [20]

4. **Common Domain Problems**:
   - If using WIX as a domain provider, you may need to change nameservers to GoDaddy for proper email functionality. [4]
   - For issues with DNS records not working in SquareSpace, use a browser other than Google Chrome to add DNS records. [7]","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002561-setting-up-whitelabel-domain-api-domain-email-sending-domain-sites-domain-client-portal-domain-', 'Category': 'Sites ', 'Folder': 'General Setup '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001188738-lc-email-mailgun-replies-not-working-when-using-wix-as-the-domain-provider', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001153720-how-to-set-up-root-domain-subdomain-for-your-funnels-websites-', 'Category': 'Sites ', 'Folder': 'Troubleshooting Funnels '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001153705-why-won-t-my-dns-records-work-in-squarespace-', 'Category': 'Email ', 'Folder': 'MailGun '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record', 'Category': 'Email ', 'Folder': 'LC Email '}]"
I want fix the broken link sent by the HO CRM?,LC Email System,,https://help.gohighlevel.com/support/solutions/articles/48001227438-ssl-certificate-for-dedicated-sending-domain-lc-email-,"To fix broken links sent by the HO CRM, you can follow these steps:

1. **Verify CNAME Record**: Ensure that your CNAME record is set up correctly. Use tools like MX Toolbox or Whatsmydns to look up the CNAME record for your subdomain (e.g., email.mg.yourdomain.com) and ensure it points to mailgun.org.

2. **Check DNS Records**: Log in to your domain provider, go to DNS records, and verify the CNAME record settings.

3. **Adjust Mailgun Settings**: In Mailgun, go to Sending > Domain Settings and edit the Tracking Protocol. You may also need to enable HTTPS Tracking Links.

4. **Avoid Common Mistakes**: Ensure that you do not include the root domain in the CNAME record. Use 'email.mg' as the hostname instead of 'email.mg.yourdomain.com'.

5. **Contact Support**: If the issue persists after verifying all settings, contact your domain provider or HighLevel support for further assistance.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001151622-how-to-fix-links-in-the-email-that-do-not-open-', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}]"
A2P Failure,LC Phone System,Phone Numbers,https://help.gohighlevel.com/support/solutions/articles/155000001454-fixing-failed-number-registrations-a2p-local-and-toll-free-,"To address A2P registration failures, consider the following common reasons and solutions:

1. **Opt-in Information Issues**: Ensure that opt-in forms include all necessary elements such as checkboxes for Terms & Conditions and Privacy Policy with links, consent to receive messages, and opt-out information.

2. **Forbidden Use Cases**: Avoid registering campaigns in forbidden categories like high-risk financial services, third-party lead generation, debt collection, 'get rich quick' schemes, gambling, illegal substances, and SHAFT (Sex, Hate, Alcohol, Firearms, and Tobacco) use cases.

3. **Inaccurate Company Information**: Verify that all business information matches official documents like the CP 575 form.

4. **Broken/Inactive Links**: Ensure all provided links are functional and lead to the correct pages.

5. **Example Messages**: Update example messages with accurate business information, including phone numbers, website links, and business names.

Following these guidelines can help in resolving A2P registration failures and ensuring compliance with messaging regulations.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000001454-fixing-failed-number-registrations-a2p-local-and-toll-free-', 'Category': 'Phone System ', 'Folder': 'LC Phone System '}, {'url': 'https://help.gohighlevel.com/support/solutions/folders/155000000021', 'Category': 'Phone System ', 'Folder': 'nan'}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001229784-a2p-10dlc-campaign-approval-best-practices', 'Category': 'Phone System ', 'Folder': 'A2P registration '}]"
need sid for subaccount,LC Phone System,Workflows,https://help.gohighlevel.com/support/solutions/articles/48001177283-move-numbers-from-one-twilio-account-to-another,"To find the Account SID for a sub-account in HighLevel, follow these steps:

1. Navigate to Agency Settings > Phone Integration.
2. Click the pencil icon next to the relevant sub-account.
3. Copy the Account SID displayed there.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001177283-move-numbers-from-one-twilio-account-to-another', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48000981421-import-existing-twilio-numbers-into-highlevel', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
